rank,ntasks
109.0,980546.0
67.0,971095.0
69.0,1012653.0
2.0,898096.0
3.0,943474.0
6.0,1078748.0
26.0,935559.0
32.0,979352.0
38.0,1001429.0
39.0,921549.0
56.0,986702.0
58.0,826896.0
59.0,940405.0
61.0,999607.0
63.0,1059360.0
15.0,951829.0
18.0,979581.0
23.0,1018090.0
29.0,953206.0
40.0,1062399.0
45.0,916609.0
47.0,981082.0
12.0,962696.0
22.0,1005694.0
24.0,924778.0
43.0,924713.0
90.0,852863.0
102.0,983888.0
84.0,1001408.0
89.0,1044478.0
94.0,1067097.0
97.0,1005038.0
98.0,834244.0
106.0,1023636.0
49.0,964463.0
50.0,886137.0
51.0,925862.0
52.0,957726.0
65.0,975967.0
68.0,1020778.0
100.0,968517.0
108.0,984353.0
0.0,1005257.0
1.0,1059530.0
88.0,884509.0
92.0,1007007.0
4.0,1066246.0
76.0,995640.0
77.0,930843.0
75.0,932854.0
27.0,930375.0
30.0,1047386.0
48.0,944203.0
81.0,961978.0
82.0,917338.0
21.0,968665.0
16.0,854323.0
54.0,1071963.0
86.0,997469.0
20.0,951281.0
31.0,1004350.0
35.0,1047711.0
70.0,1061666.0
74.0,864694.0
91.0,990556.0
19.0,902211.0
37.0,979473.0
42.0,822380.0
60.0,973549.0
66.0,919578.0
72.0,867451.0
93.0,1034571.0
99.0,905910.0
10.0,977057.0
101.0,934579.0
7.0,913783.0
14.0,1022619.0
17.0,1020301.0
34.0,893350.0
41.0,967763.0
44.0,939769.0
53.0,1046123.0
5.0,915736.0
11.0,938793.0
13.0,1030201.0
28.0,1017025.0
46.0,1057668.0
9.0,1011529.0
55.0,1008061.0
103.0,1052344.0
25.0,985321.0
107.0,989979.0
33.0,1023468.0
71.0,1062880.0
78.0,1069027.0
85.0,977459.0
87.0,987731.0
95.0,1053242.0
62.0,967260.0
96.0,1062718.0
64.0,875408.0
79.0,987288.0
104.0,1029296.0
57.0,1045279.0
80.0,968125.0
83.0,856525.0
105.0,945550.0
8.0,857466.0
36.0,1044359.0
73.0,1026438.0
